employee_id,appreciated_id,value_evaluation,type_evaluation,accordance
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,1,Не владеет,False
1,1,1,Не владеет,False
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,2,Начинающий,False
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,1,Не владеет,False
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,5,Экспертный,True
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,1,Не владеет,
1,1,2,Начинающий,
1,1,3,Базовый,
1,1,3,Базовый,
1,1,4,Уверенный,
1,1,5,Экспертный,
1,1,5,Экспертный,
1,1,5,Экспертный,
1,1,5,Экспертный,
1,1,5,Экспертный,
1,1,2,Начинающий,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,3,Базовый,False
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
1,1,4,Уверенный,True
